patent_number,kind,type,provenance,title,assignee,matched_assignee,inventor,priority_date,filing_date,publication_date,grant_date,pdf,google_patents_url,abstract
CN110046274B,B,grant,snap_filed, Systems and methods for presenting photo filters,斯纳普公司,Snap Inc,S·昌,2015-01-09,2016-01-08,2023-07-21,2023-07-21,https://patentimages.storage.googleapis.com/56/01/da/52e098b63f6523/CN110046274B.pdf,https://patents.google.com/patent/CN110046274B/en,"Systems and methods for generating and distributing photo filters are described. The photo filter publishing application receives filter data and object criteria, and generates photo filters based on the filter data. Photo filters are associated with the fulfillment of object criteria. The photo &hellip;"
CN110050283A,A,application,snap_filed, Customized user-controlled media overlay,斯纳普公司,Snap Inc,N·H·阿尔马吉德,2016-12-09,2017-12-08,2019-07-23,,https://patentimages.storage.googleapis.com/1b/1a/39/8a9783a6b2fad2/CN110050283A.pdf,https://patents.google.com/patent/CN110050283A/en,"&hellip;  stored in database 120 and accessed through database server 118 . In some exemplary embodiments, as discussed in greater detail below, embodiments of the present disclosure may generate media overlays, display media overlays, <b>assign</b> media overlays, and apply media overlays to media content items."
CN110300951B,B,grant,snap_filed, Media item attachment system,斯纳普公司,Snap Inc,N·H·阿尔马吉德,2017-02-20,2018-02-20,2022-11-01,2022-11-01,https://patentimages.storage.googleapis.com/a8/ae/ff/6eb6c3f03193c0/CN110300951B.pdf,https://patents.google.com/patent/CN110300951B/en,"1. A method for media item attachment, comprising: generating, at a client device, a data object comprising a first media item; in response to generating the data object at the client device, presenting an interface including an option to <b>assign</b> a second media item to the data object; receiving a &hellip;"
CN111542847B,B,grant,snap_filed, Label distribution visualization system,斯纳普公司,Snap Inc,A·麦克斯维尔,2018-01-03,2019-01-03,2024-06-14,2024-06-14,https://patentimages.storage.googleapis.com/f5/62/84/a8439b6e50687d/CN111542847B.pdf,https://patents.google.com/patent/CN111542847B/en,"In response to the identification of the activity based on the tag of the first message request, a geofence is generated surrounding the location identified by the first location data of the first message request; <b>Assign</b> the geofence to the activity; Receive a second message request, the second &hellip;"
CN113383336B,B,grant,snap_filed, Third party application management,斯纳普公司,Snap Inc,J·詹森,2018-12-28,2019-12-27,2025-07-29,2025-07-29,,https://patents.google.com/patent/CN113383336B/en,"The virtual currency component 204 manages virtual currencies within the social networking system. For example, the virtual currency component 204 may <b>assign</b> a quantity of virtual currency to one or more user accounts. The virtual currency component 204 may manage the currency balance within the &hellip;"
CN113874813B,B,grant,snap_filed, Wearable Device Location Accuracy System,斯纳普公司,Snap Inc,Y·J·塔姆,2019-05-30,2020-05-29,2024-10-01,2024-10-01,https://patentimages.storage.googleapis.com/4c/67/ea/86f04abc8575e9/CN113874813B.pdf,https://patents.google.com/patent/CN113874813B/en,"Client companion device 314 may also be any device described herein that accesses a network via another device, such as client device 310. Client companion device 314 includes image sensor 316, wireless input and output (I/O) 317, and elements of location system 360 (for example, to <b>assign</b> general &hellip;"
CN113892095B,B,grant,snap_filed, Context-based media curation,斯纳普公司,Snap Inc,K·安瓦里普尔,2019-03-29,2020-03-26,2026-05-08,2026-05-08,,https://patents.google.com/patent/CN113892095B/en,"7. The system of claim 6, wherein the instructions cause the system to perform operations further comprising: A request to <b>assign</b> one or more media tags to at least a portion of the plurality of media items is received. 8. The system of claim 6, wherein the collection of media content comprises one &hellip;"
CN114008677B,B,grant,snap_filed, Three-dimensional model optimization,斯纳普公司,Snap Inc,G·埃斯罕,2019-04-26,2019-09-20,2025-08-19,2025-08-19,,https://patents.google.com/patent/CN114008677B/en,"Methods, systems, and apparatus for optimizing three-dimensional models, including computer programs encoded on computer storage media. The method includes determining, for a three-dimensional model of an object to be optimized, a plurality of points on the object, each point having at least a &hellip;"
CN114143570B,B,grant,snap_filed, Real-time rendering of video streams,斯纳普公司,Snap Inc,Y·莫纳斯提尔申,2016-07-18,2017-07-18,2025-07-29,2025-07-29,,https://patents.google.com/patent/CN114143570B/en,"Systems, apparatus, media, and methods are provided for generating a graphical representation in real time within a frame of a video stream. The systems and methods receive a frame depicting a portion of a face, recognize user input, and identify a location on the portion of the face corresponding &hellip;"
CN114207567B,B,grant,snap_filed, Message thread prioritization interface,斯纳普公司,Snap Inc,J·沃斯,2019-08-05,2020-08-05,2024-08-06,2024-08-06,https://patentimages.storage.googleapis.com/b6/1c/1e/2f41517047ac81/CN114207567B.pdf,https://patents.google.com/patent/CN114207567B/en,"In response to assigning the message thread to the assignable region, the message prioritization interface may <b>assign</b> one or more graphical icons to a display of the message thread to provide an indication that the message thread has been pinned to a first location in the GUI corresponding to the &hellip;"
CN114615227A,A,application,snap_filed, Device location based on machine learning classification,斯纳普公司,Snap Inc,E·J·查尔顿,2017-08-31,2018-08-31,2022-06-10,,https://patentimages.storage.googleapis.com/4e/7c/72/f4a0ea93634722/CN114615227A.pdf,https://patents.google.com/patent/CN114615227A/en,"For example, &#34;Tunni&#39;s family Italian restaurant-the best world! Abstract to an italian restaurant location type, it may be easier to <b>assign</b> a tag to it and store it on the limited memory of the client device (e.g., smartphone). Each category and sub-category may have a metadata tag describing the &hellip;"
CN115004714A,A,application,snap_filed, Selecting avatars to be included in an on-demand generated video,斯纳普公司,Snap Inc,布雷德利·科措普洛斯,2020-01-30,2021-01-28,2022-09-02,,https://patentimages.storage.googleapis.com/89/c0/f5/41029cae579ecb/CN115004714A.pdf,https://patents.google.com/patent/CN115004714A/en,The method begins with a processor causing an Electronic Program Guide (EPG) to be displayed on a first client device associated with a first user. The processor detects selection of a selectable item included in an EPG associated with the media content item by a first user. The processor &hellip;
CN115004714B,B,grant,snap_filed, Select the avatars to include in the on-demand video,斯纳普公司,Snap Inc,布雷德利·科措普洛斯,2020-01-30,2021-01-28,2024-12-31,2024-12-31,https://patentimages.storage.googleapis.com/8f/7e/12/6594662ae09bcf/CN115004714B.pdf,https://patents.google.com/patent/CN115004714B/en,The method begins with a processor causing an Electronic Program Guide (EPG) to be displayed on a first client device associated with a first user. The processor detects a first user selection of a selectable item included in an EPG associated with the media content item. The processor identifies &hellip;
CN115039401A,A,application,snap_filed, Video generation system for rendering frames on demand,斯纳普公司,Snap Inc,阿兰·巴里尔,2020-01-30,2021-01-22,2022-09-09,,https://patentimages.storage.googleapis.com/ae/ce/20/3e4e5003af9630/CN115039401A.pdf,https://patents.google.com/patent/CN115039401A/en,The method of generating frames on demand begins with the system receiving a request for an item of media content from a client device. The request includes the media content identification and the primary user identification. The system sends a playlist including the first set of media content &hellip;
CN115039401B,B,grant,snap_filed, Video generation system for rendering frames on demand,斯纳普公司,Snap Inc,阿兰·巴里尔,2020-01-30,2021-01-22,2024-01-26,2024-01-26,https://patentimages.storage.googleapis.com/40/62/55/cd9389c4f8ca70/CN115039401B.pdf,https://patents.google.com/patent/CN115039401B/en,The method of generating frames on demand begins with the system receiving a request for a media content item from a client device. The request includes the media content identification and primary user identification. The system sends a playlist including segments of the first set of media &hellip;
CN115455209B,B,grant,snap_filed," Methods and systems for the generation, curation and presentation of media &hellip;",斯纳普公司,Snap Inc,S·昌,2016-02-26,2017-02-23,2025-06-20,2025-06-20,https://patentimages.storage.googleapis.com/d2/4c/24/d6f55dcc5051ea/CN115455209B.pdf,https://patents.google.com/patent/CN115455209B/en,"Systems and methods are provided for receiving, at a server computer, a plurality of content messages from a plurality of content sources, each content message including media content and associated with a predetermined media set, for each content message in the received plurality of content &hellip;"
CN115474153B,B,grant,snap_filed, Wearable device location system architecture,斯纳普公司,Snap Inc,Y·J·塔姆,2019-05-30,2020-05-29,2025-08-01,2025-08-01,,https://patents.google.com/patent/CN115474153B/en,"Client companion device 314 may also be any device described herein that accesses a network via another device, such as client device 310. Client companion device 314 includes image sensor 316, wireless input and output (I/O) 317, and elements of location system 360 (for example, to <b>assign</b> general &hellip;"
CN115516445B,B,grant,snap_filed, Voice-based selection of augmented reality content for detected objects,斯纳普公司,Snap Inc,约瑟夫·蒂莫西·福捷,2020-03-26,2021-03-25,2026-04-28,2026-04-28,,https://patents.google.com/patent/CN115516445B/en,"&hellip;  image and an action performed on the object; Determine the first attribute of the object; <b>Assign</b> a weight to each of the first attributes in the first attributes of the object; Based on the assigned weights and the second attribute of the action, multiple augmented reality content items are ranked. &hellip;"
CN115668263A,A,application,snap_filed, Identification of physical products for augmented reality experience in &hellip;,斯纳普公司,Snap Inc,吉恩·罗,2020-04-01,2021-03-18,2023-01-31,,https://patentimages.storage.googleapis.com/a4/1c/5e/a93473b1fa2440/CN115668263A.pdf,https://patents.google.com/patent/CN115668263A/en,The subject technology receives image data that includes a representation of a physical item. The subject technology analyzes image data to determine objects that correspond to physical items. The subject technology extracts product metadata based on the determined objects. The subject technology &hellip;
CN115777113B,B,grant,snap_filed, Message system for redisplaying content items,斯纳普公司,Snap Inc,乔纳森·达勒·布罗迪,2020-06-30,2021-06-21,2023-10-24,2023-10-24,https://patentimages.storage.googleapis.com/c0/7e/9f/2b18b29732ac4d/CN115777113B.pdf,https://patents.google.com/patent/CN115777113B/en,"Methods, computer-readable storage media, and apparatuses for redisplaying content items in a messaging system. The method may include storing a content item generated by a client device of a user. The method may further include determining a time period to re-present to the user and the content &hellip;"
CN117280337A,A,application,snap_filed, Generating modified User Content that includes additional text content,斯纳普公司,Snap Inc,内森·肯尼斯·博伊德,2021-03-31,2022-03-31,2023-12-22,,https://patentimages.storage.googleapis.com/d9/80/d2/b501d9ccaabcf5/CN117280337A.pdf,https://patents.google.com/patent/CN117280337A/en,"In one or more implementations, user content items generated using a client application may be shared with users who are not contacts of users within the client application. A user interface may be generated indicating a plurality of recipients of the user content item, the user interface further &hellip;"
CN117678196A,A,application,snap_filed, Privacy Security Joint Identification Protocol,斯纳普公司,Snap Inc,阿普尔瓦·德斯潘德,2021-07-20,2022-07-20,2024-03-08,,https://patentimages.storage.googleapis.com/a5/30/bd/e55cac277a1d46/CN117678196A.pdf,https://patents.google.com/patent/CN117678196A/en,"Solve the technical problem of matching records in different data sets, such as host data sets and collaborators that store records representing corresponding users, while maintaining the privacy of each data set by providing a privacy-secure federated identification protocol. data set. The &hellip;"
CN117751450B,B,grant,snap_filed, Systems and methods for configuring display devices and display systems,斯纳普公司,Snap Inc,扬·凯尔斯,2021-08-05,2022-08-04,2025-11-14,2025-11-14,,https://patents.google.com/patent/CN117751450B/en,"In an embodiment of the present disclosure, the logic region includes registers, state machines, and pixel drive circuitry, and is used to receive image data from the outside, <b>assign</b> it to pixels in the active region, and route the lines in rows and columns so that connections to the LED pixels &hellip;"
CN117999584A,A,application,snap_filed, Deforming real-world objects using external meshes,斯纳普公司,Snap Inc,马坦·祖海尔,2021-09-20,2022-09-20,2024-05-07,,https://patentimages.storage.googleapis.com/10/d4/11/689f3ee8986e49/CN117999584A.pdf,https://patents.google.com/patent/CN117999584A/en,"Methods and systems are disclosed for performing operations including: receiving a video, the video comprising a depiction of a real world object; generating a three-dimensional (3D) body mesh associated with the real-world object, the three-dimensional (3D) body mesh tracking movement of the real &hellip;"
CN118647972A,A,application,snap_filed, Grouping content items in a shared content collection,斯纳普公司,Snap Inc,安德鲁·格罗夫纳·库珀,2021-12-30,2022-12-29,2024-09-13,,https://patentimages.storage.googleapis.com/17/21/c6/6ac41c3504158d/CN118647972A.pdf,https://patents.google.com/patent/CN118647972A/en,The content collection is shared between the first user and the second user. The content collection interface is presented on a second user device of a second user. The content collection interface enables the second user to browse the shared content collection. The shared content collection &hellip;
CN119815072B,B,grant,snap_filed, Select the avatars to include in the on-demand generated videos.,斯纳普公司,Snap Inc,布雷德利·科措普洛斯,2020-01-30,2021-01-28,2025-12-30,2025-12-30,,https://patents.google.com/patent/CN119815072B/en,This disclosure relates to selecting avatars to be included in on-demand generated video. The method begins with a processor displaying an Electronic Program Guide (EPG) on a first client device associated with a first user. The processor detects the first user&#39;s selection of options included in &hellip;
CN120583372A,A,application,snap_filed, Wearable device location system architecture,斯纳普公司,Snap Inc,Y·J·塔姆,2019-05-30,2020-05-29,2025-09-02,,,https://patents.google.com/patent/CN120583372A/en,"Client companion device 314 may also be any device described herein that accesses a network via another device, such as client device 310. Client companion device 314 includes image sensor 316, wireless input and output (I/O) 317, and elements of location system 360 (for example, to <b>assign</b> general &hellip;"
CN121437692A,A,application,snap_filed, Real-time body animation based on a single image,斯纳普公司,Snap Inc,叶戈尔·涅姆钦诺夫,2019-06-07,2020-05-20,2026-01-30,,,https://patents.google.com/patent/CN121437692A/en,"&hellip;  the three-dimensional mesh to generate a two-dimensional texture map. 16. The computing device of claim 11, wherein to generate the texture map comprises to <b>assign</b> a visible segment of the input image to a visible portion of the three-dimensional mesh corresponding to a visible portion of the body. &hellip;"
CN121531876A,A,application,snap_filed," Display devices, display systems and methods thereof",斯纳普公司,Snap Inc,扬·凯尔斯,2021-08-05,2022-08-04,2026-02-13,,,https://patents.google.com/patent/CN121531876A/en,"In an embodiment of the present disclosure, the logic region includes registers, state machines, and pixel drive circuitry, and is used to receive image data from the outside, <b>assign</b> it to pixels in the active region, and route the lines in rows and columns so that connections to the LED pixels &hellip;"
EP2248311B1,B1,grant,snap_filed, Method and system for message delivery in messaging networks,Snap Inc.,Snap Inc,Andrew David Banks,2008-01-25,2009-01-19,2018-11-21,2018-11-21,https://patentimages.storage.googleapis.com/60/e5/9a/1d048f27455446/EP2248311B1.pdf,https://patents.google.com/patent/EP2248311B1/en,WO2005/025155 discloses a communication method of sending and receiving messages between senders and receivers using communications lines that each have an identification and using the identifications to <b>assign</b> a reply to a sent message. According to a first aspect of the present invention there is &hellip;
EP3529747B1,B1,grant,snap_filed, Neural networks for facial modeling,Snap Inc.,Snap Inc,Jia Li,2016-10-19,2017-10-19,2023-10-11,2023-10-11,https://patentimages.storage.googleapis.com/78/e1/ce/e0bbd27766865e/EP3529747B1.pdf,https://patents.google.com/patent/EP3529747B1/en,"The assignment component 270 may <b>assign</b> the identification to all features based on an identification level (e.g., a broad identification such as male/female). In some embodiments, the assignment component 270 generates notifications indicating the assignment of the identification to one or more of &hellip;"
EP3616150B1,B1,grant,snap_filed, Generation of interactive content with advertising,Snap Inc.,Snap Inc,Jacob ANDREOU,2017-04-28,2018-04-27,2023-07-26,2023-07-26,https://patentimages.storage.googleapis.com/ea/71/c2/5bc5283c2831dd/EP3616150B1.pdf,https://patents.google.com/patent/EP3616150B1/en,"A computer-implemented method comprising: accessing (352), by a server computer system, first advertising presentation data; automatically merging (354) the first advertising presentation data with a first set of interaction elements to generate a first advertising element, wherein the first &hellip;"
EP3713159B1,B1,grant,snap_filed, Gallery of messages with a shared interest,Snap Inc.,Snap Inc,Timothy Michael SEHN,2014-12-19,2015-12-15,2024-05-01,2024-05-01,https://patentimages.storage.googleapis.com/19/7c/1b/d1f0c5639094ab/EP3713159B1.pdf,https://patents.google.com/patent/EP3713159B1/en,"&hellip;  the user to answer if this is a social event. The user may select a &#34;Yes&#34; button to indicate his/her desire to <b>assign</b> to the captured photos contextual information describing the social event and its attendees, and/or to indicate that all following photos are also related to the same social event."
EP3948797B1,B1,grant,snap_filed, Location based augmented-reality system,Snap Inc.,Snap Inc,Piers George Cowburn,2019-04-04,2020-03-17,2025-11-12,2025-11-12,,https://patents.google.com/patent/EP3948797B1/en,"In some example embodiments, the media content includes 3D typography. For example, the location-based AR system may <b>assign</b> a set of geo-location coordinates to the 3D typography and present the 3D typography as AR content in a presentation of an image at a client device. A text string f the 3D &hellip;"
EP4111404B1,B1,grant,snap_filed, Internet meme economy,"Snap, Inc.",Snap Inc,Jeffrey Harris,2020-02-24,2021-02-24,2024-12-04,2024-12-04,https://patentimages.storage.googleapis.com/d9/70/32/cdb96a64d62001/EP4111404B1.pdf,https://patents.google.com/patent/EP4111404B1/en,The computing apparatus of claim 9 wherein the instructions further configure the apparatus to: identify an iteration of the Internet meme; and <b>assign</b> shares in the iteration of the Internet meme to shareholders of the Internet meme. The computing apparatus of claim 9 wherein the instructions &hellip;
EP4457771A1,A1,application,snap_filed, Ar position indicator,Snap Inc.,Snap Inc,Avihay ASSOULINE,2021-12-30,2022-12-21,2024-11-06,,,https://patents.google.com/patent/EP4457771A1/en,Aspects of the present disclosure involve a system for presenting augmented reality (AR) items. The system performs operations including receiving a video that includes a depiction of a real-world environment and generating a 3D model of the real-world environment based on the video. The &hellip;
EP4505690A1,A1,application,snap_filed, Smart media overlay selection for a messaging system,Snap Inc.,Snap Inc,Jiayu HE,2022-04-01,2023-03-31,2025-02-12,,,https://patents.google.com/patent/EP4505690A1/en,&hellip;  provided by a second client device of a second user; parse the text string into one or more text portions; <b>assign</b> a score to each of the one or more text portions based on a specified criterion; determine one or more relevant tags of a plurality of tags based on the one or more text portions;
EP4578008A1,A1,application,snap_filed, Grouping similar words in a language model,Snap Inc.,Snap Inc,Jacob Assa,2022-08-22,2023-08-21,2025-07-02,,,https://patents.google.com/patent/EP4578008A1/en,"Systems and methods are provided for performing automated speech recognition. The systems and methods access a LM that includes a plurality of n-grams, each of the plurality of n-grams comprising a respective sequence of words and corresponding LM score and receive a list of words associated with &hellip;"
EP4605815A1,A1,application,snap_filed, Sign language interpretation with collaborative agents,Snap Inc.,Snap Inc,Kai ZHOU,2022-10-17,2023-10-16,2025-08-27,,,https://patents.google.com/patent/EP4605815A1/en,"&hellip;  language recognition system further comprises: detect, by the first augmented reality device, an occlusion of the hand gesture in the first image; and in response to detecting the occlusion, <b>assign</b> the second augmented reality device to perform the one or more processes based on the second image."
EP4643306A1,A1,application,snap_filed, Unsupervised volumetric animation,Snap Inc.,Snap Inc,Menglei CHAI,2022-12-28,2023-12-21,2025-11-05,,,https://patents.google.com/patent/EP4643306A1/en,"The UVA system includes a canonical voxel generator to produce a volumetric representation of the non-rigid deformable object, wherein the non-rigid deformable object is represented as a set of moving rigid parts, and to <b>assign</b> each 3D point of the non-rigid deformable object to a corresponding &hellip;"
EP4652717A1,A1,application,snap_filed, User contact control in a network application,Snap Inc.,Snap Inc,Rudd Fawcett,2023-01-18,2024-01-18,2025-11-26,,,https://patents.google.com/patent/EP4652717A1/en,"&hellip;  , the display device 240 presents a next UI window 250 that presents the client list 252 and/or selection boxes 254. Responsive to receiving a selection of a box for a contact (or responsive to detecting the box was left unselected), the UI module 208 (and/or the messaging system 100) can <b>assign</b> an &hellip;"
EP4662848A1,A1,application,snap_filed, Chatbot for interactive platforms,Snap Inc.,Snap Inc,William Spencer MULLIGAN,2023-02-06,2024-02-05,2025-12-17,,,https://patents.google.com/patent/EP4662848A1/en,"A chatbot system for filtering conversation content. A chatbot system receives, from a client system, a prompt of a user during an interactive session. The chatbot system filters the prompt of the user based on a set of platform policies and generates a response based on the filtering of the &hellip;"
EP4705860A1,A1,application,snap_filed, Augmented reality mood board,Snap Inc.,Snap Inc,Luke Cartwright,2023-05-04,2024-04-26,2026-03-11,,,https://patents.google.com/patent/EP4705860A1/en,"&hellip;  this context an “augmented reality effect&#34; comprises the collection of data, parameters, and other assets used to apply a selected augmented reality experience to an image or a video feed. In some examples, augmented reality effects are provided by <b>Snap, Inc</b>. under the registered trademark LENSES."
EP4705861A1,A1,application,snap_filed, Augmented reality mood board manipulation,Snap Inc.,Snap Inc,Luke Cartwright,2023-05-04,2024-04-26,2026-03-11,,,https://patents.google.com/patent/EP4705861A1/en,"&hellip;  this context an “augmented reality effect&#34; comprises the collection of data, parameters, and other assets used to apply a selected augmented reality experience to an image or a video feed. In some examples, augmented reality effects are provided by <b>Snap, Inc</b>. under the registered trademark LENSES."
EP4720920A1,A1,application,snap_filed, Machine learning model continuous training system,Snap Inc.,Snap Inc,Kevin Sarabia Dela Rosa,2023-05-31,2024-05-31,2026-04-08,,,https://patents.google.com/patent/EP4720920A1/en,"Described is a system for performing a set of machine learning model training operations that include: accessing media content items associated with interaction functions initiated by users of an interaction system, generating training data including labels for the media content items, extracting &hellip;"
KR102248095B1,B1,grant,snap_filed, Creation and selection of customized media content according to context,스냅 인코포레이티드,Snap Inc,제이콥 에드워드 블랙스톡,2017-01-09,2017-12-29,2021-05-04,2021-05-04,https://patentimages.storage.googleapis.com/36/bb/aa/933dfa3e5bec08/KR102248095B1.pdf,https://patents.google.com/patent/KR102248095B1/en,"In particular, embodiments of the present disclosure provide electronic messaging software and systems by creating and selecting personalized media content items (eg images) with avatars of different users in electronic messages based on the context of communication between users. Improve their &hellip;"
KR20180116346A,A,application,snap_filed," Methods and systems for creation, curation and presentation of media &hellip;",스냅 인코포레이티드,Snap Inc,니콜라스 리차드 알렌,2016-02-26,2017-02-23,2018-10-24,,https://patentimages.storage.googleapis.com/cb/e9/ff/e9b499104c04c6/KR20180116346A.pdf,https://patents.google.com/patent/KR20180116346A/en,"The method comprising: receiving, at a server computer, a plurality of content messages from a plurality of content sources, each content message comprising media content and associated with a predetermined media collection; for each of a plurality of received content messages, Systems and methods &hellip;"
KR20190088503A,A,application,snap_filed, Smart carousel of image modifiers,스냅 인코포레이티드,Snap Inc,사미르 아메드,2016-11-22,2017-11-21,2019-07-26,,https://patentimages.storage.googleapis.com/3c/0f/d2/954c8dfb5d1334/KR20190088503A.pdf,https://patents.google.com/patent/KR20190088503A/en,"Embodiments of the present disclosure generally relate to techniques for automated organization and presentation of user-selectable features in user interfaces. Rather than as a limitation, and more particularly, this disclosure addresses systems and methods for presenting and accessing filters in &hellip;"
KR20190103322A,A,application,snap_filed, Surface recognition lens,스냅 인코포레이티드,Snap Inc,앤드류 제임스 맥피,2017-01-09,2018-01-09,2019-09-04,,https://patentimages.storage.googleapis.com/dd/e1/0b/4a1512eb9e7030/KR20190103322A.pdf,https://patents.google.com/patent/KR20190103322A/en,"Aspects of the present disclosure involve a method for rendering three-dimensional virtual objects in real world environments, and a system comprising a computer-readable storage medium storing at least one program. The virtual rendering of the three-dimensional virtual object may change as the &hellip;"
KR20210149120A,A,application,snap_filed, Location-Based Augmented-Reality System,스냅 인코포레이티드,Snap Inc,피어스 조지 카우번,2019-04-04,2020-03-17,2021-12-08,,https://patentimages.storage.googleapis.com/c9/9a/f9/6a7b270bd0480f/KR20210149120A.pdf,https://patents.google.com/patent/KR20210149120A/en,"In some demonstrative embodiments, the media content includes 3D typography. For example, a location-based AR system may <b>assign</b> a set of geo-location coordinates to the 3D typography and present the 3D typography as AR content in presentation of the image at the client device. The text string f of &hellip;"
KR20220051376A,A,application,snap_filed, 3D Data Generation in Messaging Systems,스냅 인코포레이티드,Snap Inc,카일 굿리치,2019-08-28,2020-08-28,2022-04-26,,https://patentimages.storage.googleapis.com/89/bb/b0/9fdf2862ddb33d/KR20220051376A.pdf,https://patents.google.com/patent/KR20220051376A/en,The subject technology receives image data and depth data. The target technology selects an augmented reality content generator corresponding to a three-dimensional (3D) effect. The subject technology applies a 3D effect to the image data and the depth data based at least in part on the selected &hellip;
